Wissenschaftlicher Name;Trivialname;Klasse;Ordnung;Familie;TaxonId
Salticus scenicus;Zebraspringspinne;Chelicerata;Araneae;Salticidae;68901
Saturnia pavonia;Kleines Nachtpfauenauge;Insecta;Lepidoptera;Saturniidae;59346
Sceliphron curvatum;Orientalische Mauerwespe;Insecta;Hymenoptera;Sphecidae;347823
Scutigera coleoptrata;Spinnenläufer;Chilopoda;Scutigeromorpha;Scutigeridae;49552
Simulium variegatum;;Insecta;Diptera;Simuliidae;521069
Siphoninus phillyreae;Eschen-Weiße Fliege;Insecta;Hemiptera;Aleyrodidae;397210
Sisyra nigra;;Insecta;Neuroptera;Sisyridae;363245
Sorex alpinus;Alpenspitzmaus;Mammalia;Insectivora;Soricidae;46412
Sphaeridium scarabaeoides;Gemeiner Dungkugelkäfer;Insecta;Coleoptera;Hydrophilidae;209651
Stictocephala bisonia;Büffelzikade;Insecta;Hemiptera;Membracidae;1110561
Stomoxys calcitrans;Wadenstecher;Insecta;Diptera;Muscidae;122223
Strix aluco;Waldkauz;Aves;Strigiformes;Strigidae;19898
Synageles venator;Schlanker Ameisenspringer;Chelicerata;Araneae;Salticidae;232111
Tabanus bromius;Gemeine Viehbremse;Insecta;Diptera;Tabanidae;154667
Taeniopteryx kuehtreiberi;Kühtreiber‘s gebänderte Steinfliege;Insecta;Plecoptera;Taeniopterygidae;521105
Talpa europaea;Europäischer Maulwurf;Mammalia;Insectivora;Talpidae;46970
Tanyptera atrata;Schwarze Kammschnake;Insecta;Diptera;Tipulidae;464052
Tenthredo scrophulariae;Braunwurzblattwespe;Insecta;Hymenoptera;Tenthredinidae;55966
Tettigonia viridissima;Grünes Heupferd;Insecta;Ensifera;Tettigoniidae;133250
Thymallus thymallus;Europäische Äsche;Pisces;Salmoniformes;Salmonidae;114127
Trimerophorella rhaetica;Samenfüßer;Diplopoda;Chordeumatida;Neoatractosomatidae;0
Trypocopris vernalis;Fühlingsmistkäfer;Insecta;Coleoptera;Scarabaeidae;472829
Turdus merula;Amsel;Aves;Passeriformes;Turdidae;12716
Urocerus gigas;Riesenholzwespe;Insecta;Hymenoptera;Siricidae;51560
Vanessa cardui;Distelfalter;Insecta;Lepidoptera;Nymphalidae;48548
Vespula germanica;Deutsche Wespe;Insecta;Hymenoptera;Vespidae;126155
Vipera berus;Kreuzotter;Reptilia;Squamata;Viperidae;966698
Viviparus contectus;Spitze Sumpfdeckelschnecke;Gastropoda;Architaenioglossa;Viviparidae;151304
Vulpes vulpes;Rotfuchs;Mammalia;Carnivora;Canidae;42069
Xenos vesparum;Feldwespen-Fächerflügler;Insecta;Strepsiptera;Xenidae;486031
Xylocopa violacea;Blauschwarze Holzbiene;Insecta;Hymenoptera;Apidae;124145
Zootoca vivipara;Bergeidechse;Reptilia;Squamata;Lacertidae;35453
Zygaena filipendulae;Sechsfleck-Widderchen;Insecta;Lepidoptera;Zygaenidae;62083
