Wissenschaftlicher Name;Trivialname;Klasse;Ordnung;Familie;TaxonId
Lipoptena cervi;Hirschlausfliege;Insecta;Diptera;Hippoboscidae;130393
Lumbricus rubellus;Roter Laubwurm;Clitellata;Oligochaeta;Lumbricidae;199376
Lumbricus terrestris;Tauwurm;Clitellata;Oligochaeta;Lumbricidae;81545
Lutra lutra;Fischotter;Mammalia;Carnivora;Mustelidae;41850
Machilis pallida;;Insecta;Archaeognatha;Machilidae;0
Macroglossum stellatarum;Taubenschwänzchen;Insecta;Lepidoptera;Sphingidae;56293
Macropis europaea;Auen-Schenkelbiene;Insecta;Hymenoptera;Mellitidae;188686
Manica rubida;Große Knotenameise;Insecta;Hymenoptera;Formicidae;347533
Mantis religiosa;Gottesanbeterin;Insecta;Mantodea;Mantidae;53905
Marmota marmota;Alpenmurmeltier;Mammalia;Rodentia;Sciuridae;46082
Martes foina;Steinmarder;Mammalia;Carnivora;Mustelidae;41800
Megabunus lesserti;Nördliches Riesenauge;Chelicerata;Opiliones;Phalangiidae;528490
Meloe proscarabaeus;Schwarzblauer Ölkäfer;Insecta;Coleoptera;Meloidae;82109
Mergus merganser;Gänsesäger;Aves;Anseriformes;Anatidae;7004
Micrommata virescens;Grüne Huschspinne;Chelicerata;Araneae;Sparassidae;121766
Mikiola fagi;Buchengallmücke;Insecta;Diptera;Cecidomyiidae;244644
Misumena vatia;Veränderliche Krabbenspinne;Chelicerata;Araneae;Thomisidae;55746
Mitopus morio;Gemeiner Gebirgsweberknecht;Chelicerata;Opiliones;Phalangiidae;324310
Musca domestica;Stubenfliege;Insecta;Diptera;Muscidae;120156
Myrmeleon formicarius;Gewöhnliche Ameisenjungfer;Insecta;Neuroptera;Myrmeleontidae;154671
Nebria jockischii;Jockischs Dammläufer;Insecta;Coleoptera;Carabidae;504666
Nicrophorus vespilloides;Schwarzhörniger Totengräber;Insecta;Coleoptera;Silphidae;70118
Nomada lathburiana;Rothaarige Wespenbiene;Insecta;Hymenoptera;Apidae;461045
Notonecta glauca;Gemeiner Rückenschwimmer;Insecta;Hemiptera;Notonectidae;56554
Nucifraga caryocatactes;Tannenhäher;Aves;Passeriformes;Corvidae;204552
Ocypus olens;Moderkurzflügler;Insecta;Coleoptera;Staphylinidae;53869
Oligotricha striata;;Insecta;Trichoptera;Phryganeidae;454883
Ommatoiulus sabulosus;Sandschnurfüßer;Diplopoda;Julida;Julidae;205191
Orchesella cincta;Gegürtelter Springschwanz;Collembola;Entomobryomorpha;Entomobryidae;132308
Osmia bicolor;Zweifarbige Schneckenhausbiene;Insecta;Hymenoptera;Megachilidae;207574
Pacifastacus leniusculus;Signalkrebs;Malacostraca;Decapoda;Astacidae;53708
Paederidus ruficollis;;Insecta;Coleoptera;Staphylinidae;469716
Panorpa communis;Gemeine Skorpionsfliege;Insecta;Mecoptera;Panorpidae;51699
Passer domesticus;Haussperling;Aves;Passeriformes;Passeridae;13858
Passer montanus;Feldsperling;Aves;Passeriformes;Passeridae;13851
Pediculus humanus;Menschenlaus;Insecta;Phthiraptera;Pediculidae;321532
Pentatoma rufipes;Rotbeinige Baumwanze;Insecta;Hemiptera;Pentatomidae;51275
Phaeostigma notata;Kenntliche Kamelhalsfliege;Insecta;Raphidioptera;Raphidiidae;357386
Phalangium opilio;Hornkanker;Chelicerata;Opiliones;Phalangiidae;84644
Phengaris alcon;Enzian-Ameisenbläuling;Insecta;Lepidoptera;Lycaenidae;426193
Philaenus spumarius;Wiesenschaumzikade;Insecta;Hemiptera;Aphrophoridae;56189
Philanthus triangulum;Bienenwolf ;Insecta;Hymenoptera;Crabronidae;143529
Phlegra fasciata;Gebänderter Bodenspringer;Chelicerata;Araneae;Salticidae;153536
Pholcus phalangioides;Große Zitterspinne;Chelicerata;Araneae;Pholcidae;67328
Pholidoptera aptera;Alpen-Strauchschrecke;Insecta;Ensifera;Tettigoniidae;332407
Pholidoptera griseoaptera;Gewöhnliche Strauchschrecke;Insecta;Ensifera;Tettigoniidae;55359
Phyllopertha horticola;Gartenlaubkäfer;Insecta;Coleoptera;Scarabaeidae;51662
Physella acuta;Spitze Blasenschnecke;Gastropoda;Pulmonata;Physidae;448024
Picromerus bidens;Zweizähnige Dornwanze;Insecta;Hemiptera;Pentatomidae;363786
Pieris rapae;Kleiner Kohlweißling;Insecta;Lepidoptera;Pieridae;55626
Pipistrellus pipistrellus;Zwergfledermaus;Mammalia;Chiroptera;Vespertilionidae;40364
Pisaura mirabilis;Brautgeschenkspinne/Listspinne;Chelicerata;Araneae;Pisauridae;55787
Plodia interpunctella;Dörrobstmotte;Insecta;Lepidoptera;Pyralidae;124184
Podarcis muralis;Mauereidechse;Reptilia;Squamata;Lacertidae;55990
Podura aquatica;Schwarzer Wasserspringer;Collembola;Poduromorpha;Poduridae;207912
Polistes dominula;Haus-Feldwespe;Insecta;Hymenoptera;Vespidae;84640
Polydesmus denticulatus;Sommer-Bandfüßer;Diplopoda;Polydesmida;Polydesmidae;336991
Polyxenus lagurus;Kleiner Pinselfüßer;Diplopoda;Polyxenida;Polyxenidae;133872
Pompilus cinereus;Bleigraue Wegwespe;Insecta;Hymenoptera;Pompilidae;359408
Pseudeuophrys lanigera;Wollige Mauerspringspinne;Chelicerata;Araneae;Salticidae;466999
Pseudopanthera macularia;Pantherspanner;Insecta;Lepidoptera;Geometridae;341679
Psococerastis gibbosa;;Insecta;Psocoptera;Psocidae;546156
Psophus stridulus;Rotflügelige Schnarrschrecke;Insecta;Caelifera;Acrididae;470524
Pyrrhocoris apterus;Gewöhnliche Feuerwanze;Insecta;Hemiptera;Pyrrhocoridae;55610
Regulus regulus;Wintergoldhähnchen;Aves;Passeriformes;Regulidae;793469
Rhingia campestris;Gemeine Schnauzenschwebfliege ;Insecta;Diptera;Syrphidae;355014
Rhinolophus hipposideros;Kleine Hufeisennase;Mammalia;Chiroptera;Rhinolophidae;40695
Rhynocoris iracundus;Rote Mordwanze;Insecta;Hemiptera;Reduviidae;461120
Rhyssa persuasoria;Holzwespen-Schlupfwespe;Insecta;Hymenoptera;Ichneumonidae;371364
Rupicapra rupicapra;Gämse;Mammalia;Artiodactyla;Bovidae;42347
Salamandra atra;Alpensalamander;Amphibia;Caudata;Salamandridae;27735
Salamandra salamandra;Feuersalamander;Amphibia;Caudata;Salamandridae;27726
